;OBJECTID;�.rea;NOME;NOME2;REGIAO_ADM;AREA_PLANE;CODBAIRRO;CODRA;CODBNUM;LINK;SHAPESTAre;SHAPESTLen;RP;Cod_RP;CODBAIRRO_
143;510;1.044.451.476.875;Campo Grande;CAMPO GRANDE;CAMPO GRANDE;5;144;18;144;Campo Grande                &area=144;1.044.451.476.875;750.836.521.321.256;Campo Grande;5.2;144
144;405;644.176.896.500.587;Senador Vasconcelos;SENADOR VASCONCELOS;CAMPO GRANDE;5;145;18;145;Senador Vasconcelos       &area=145;6.441.769.125;128.468.079.507.297;Campo Grande;5.2;145
145;414;828.788.309.999.555;Inhoaíba;INHOAIBA;CAMPO GRANDE;5;146;18;146;Inhoaíba                  &area=146;828.788.310.449.219;153.568.642.324.644;Campo Grande;5.2;146
146;406;112.613.188.315.868;Cosmos;COSMOS;CAMPO GRANDE;5;147;18;147;Cosmos                    &area=147;112.613.188.930.664;176.867.256.071.656;Campo Grande;5.2;147
147;374;274.179.708.565.612;Paciência;PACI�NCIA;SANTA CRUZ;5;148;19;148;Paciência                 &area=148;274.179.708.330.078;343.075.661.628.096;Santa Cruz;5.3;148
148;387;125.044.295.397.969;Santa Cruz;SANTA CRUZ;SANTA CRUZ;5;149;19;149;Santa Cruz                &area=149;125.044.295.352.051;657.173.913.325.043;Santa Cruz;5.3;149
149;458;116.213.000.263.797;Sepetiba;SEPETIBA;SANTA CRUZ;5;150;19;150;Sepetiba                  &area=150;116.213.000.146.484;211.088.212.280.699;Santa Cruz;5.3;150
150;450;13.950.120.891.706;Guaratiba;GUARATIBA;GUARATIBA;5;151;26;151;Guaratiba                 &area=151;139.501.209.092.773;747.387.602.158.208;Guaratiba;5.4;151
151;480;944.203.050.247.076;Barra de Guaratiba;BARRA DE GUARATIBA;GUARATIBA;5;152;26;152;Barra de Guaratiba        &area=152;944.203.042.529.297;275.081.871.885.779;Guaratiba;5.4;152
152;476;363.691.226.028.651;Pedra de Guaratiba;PEDRA DE GUARATIBA;GUARATIBA;5;153;26;153;Pedra de Guaratiba        &area=153;363.691.225.195.312;880.432.425.593.878;Guaratiba;5.4;153
153;475;143.719.474.681.938;Rocinha;ROCINHA;ROCINHA;2;154;27;154;Rocinha                   &area=154;143.719.475.585.938;612.074.540.214.939;Zona Sul;2.1;154
154;407;94.387.412.208.015;Jacarezinho;JACAREZINHO;JACAREZINHO;3;155;28;155;Jacarezinho               &area=155;943.874.106.445.312;631.910.661.744.923;Méier;3.2;155
155;376;296.085.514.765.579;Complexo do Alemão;COMPLEXO DO ALEM�O;COMPLEXO DO ALEMÃO;3;156;29;156;Complexo do Alemão        &area=156;296.085.518.457.031;119.984.368.583.515;Inhaúma;3.4;156
156;365;42.687.613.091.656;Maré;MAR�;COMPLEXO DA MARE;3;157;30;157;Maré                      &area=157;426.876.130.273.438;130.826.216.980.537;Ramos;3.1;157
157;413;86.307.454.194.066;Vasco da Gama;VASCO DA GAMA;SAO CRISTOVAO;1;158;7;158;Vasco da Gama             &area=158;863.074.538.085.938;434.997.722.950.455;Centro;1.1;158
158;341;151.713.448.260.307;Parque Colúmbia;PARQUE COL�MBIA;PAVUNA;3;159;25;159;Parque Colúmbia           &area=159;151.713.446.630.859;617.926.932.099.748;Pavuna;3.6;159
159;512;253.430.416.845.703;Gericinó;GERICIN�;BANGU;5;160;17;160;Gericinó                &area=160;253.430.416.845.703;882.854.376.022.291;Bangu;5.1;160
160;485;29.832.584.054.369;Lapa;LAPA;CENTRO;1;161;2;161;Lapa&area=161;298.325.824.707.031;384.917.657.463.781;Centro;1.1;161
161;890;147.373.729.589.844;Vila Kennedy;VILA KENNEDY;BANGU;5;162;17;NA;Vila Kennedy                &area=162;147.373.729.589.844;678.960.072.357.385;Bangu;5.1;162
