;OBJECTID;�.rea;NOME;NOME2;REGIAO_ADM;AREA_PLANE;CODBAIRRO;CODRA;CODBNUM;LINK;SHAPESTAre;SHAPESTLen;RP;Cod_RP;CODBAIRRO_
96;327;97.804.659.237.239;Bancários;BANC�RIOS;ILHA DO GOVERNADOR;3;97;20;97;Bancários                 &area=97;978.046.542.480.469;775.878.128.164.457;Ilha do Governador;3.7;97
97;326;405.640.274.640.405;Freguesia (Ilha);FREGUESIA (ILHA);ILHA DO GOVERNADOR;3;98;20;98;Freguesia (Ilha)          &area=98;405.640.276.611.328;183.035.957.174.869;Ilha do Governador;3.7;98
98;339;320.588.204.470.265;Jardim Guanabara;JARDIM GUANABARA;ILHA DO GOVERNADOR;3;99;20;99;Jardim Guanabara          &area=99;320.588.207.080.078;902.840.749.925.664;Ilha do Governador;3.7;99
99;336;162.112.617.821.354;Jardim Carioca;JARDIM CARIOCA;ILHA DO GOVERNADOR;3;100;20;100;Jardim Carioca            &area=100;162.112.618.847.656;615.087.966.995.518;Ilha do Governador;3.7;100
100;329;167.254.571.937.412;Tauá;TAU�;ILHA DO GOVERNADOR;3;101;20;101;Tauá                      &area=101;167.254.575.097.656;824.610.960.622.588;Ilha do Governador;3.7;101
101;331;52.055.745.640.875;Moneró;MONER�;ILHA DO GOVERNADOR;3;102;20;102;Moneró                    &area=102;520.557.466.796.875;353.828.539.493.062;Ilha do Governador;3.7;102
102;330;118.640.947.512.896;Portuguesa;PORTUGUESA;ILHA DO GOVERNADOR;3;103;20;103;Portuguesa                &area=103;118.640.943.945.312;510.152.319.800.295;Ilha do Governador;3.7;103
103;328;189.574.221.457.379;Galeão;GALE�O;ILHA DO GOVERNADOR;3;104;20;104;Galeão                    &area=104;189.574.221.518.555;215.100.592.195.689;Ilha do Governador;3.7;104
104;367;469.070.649.356.904;Cidade Universitária;CIDADE UNIVERSIT�RIA;ILHA DO GOVERNADOR;3;105;20;105;Cidade Universitária      &area=105;469.070.646.972.656;223.762.214.749.162;Ilha do Governador;3.7;105
105;356;382.000.769.488.448;Guadalupe;GUADALUPE;ANCHIETA;3;106;22;106;Guadalupe                 &area=106;382.000.767.333.984;10.384.232.203.965;Pavuna;3.6;106
106;347;434.572.699.202.132;Anchieta;ANCHIETA;ANCHIETA;3;107;22;107;Anchieta                  &area=107;434.572.697.900.391;114.714.188.255.764;Pavuna;3.6;107
107;357;39.057.900.249.756;Parque Anchieta;PARQUE ANCHIETA;ANCHIETA;3;108;22;108;Parque Anchieta           &area=108;390.579.000.732.422;130.177.350.234.271;Pavuna;3.6;108
108;360;211.686.982.665.411;Ricardo de Albuquerque;RICARDO DE ALBUQUERQUE;ANCHIETA;3;109;22;109;Ricardo de Albuquerque    &area=109;211.686.979.931.641;919.669.344.876.069;Pavuna;3.6;109
109;355;25.119.704.082.222;Coelho Neto;COELHO NETO;PAVUNA;3;110;25;110;Coelho Neto               &area=110;251.197.033.837.891;75.345.386.040.507;Pavuna;3.6;110
110;348;160.552.431.696.883;Acari;ACARI;PAVUNA;3;111;25;111;Acari                     &area=111;16.055.243.203.125;640.877.293.697.906;Pavuna;3.6;111
